ID,Report,Category,Severity,Priority,Title,Impact,Evidence,RootCause,Recommendation,AcceptanceCriteria,Effort,Dependencies,SuggestedOwner,Status,BacklogStatus
PAGE-004,Code,Pages Editor,P1,P1,Slash-Menü konvertiert aktuellen Block statt neuen einzufügen,Bestehender Text kann unerwartet umgewandelt/verloren werden,"page.tsx:255-257,560-565; SlashMenu.tsx:112-117",onSelect ist an onBlockTypeChange gekoppelt,Insert-at-caret API und stabile Cursorposition,Slash erzeugt neuen Block unter Cursor ohne Inhaltsverlust,M,PAGE-003,Pages Frontend,CODE_CONFIRMED,OPEN
PAGE-005,Code,Pages Editor,P1,P1,Rich-Text-Formatierung ist nicht auffindbar,Bold/Italic/Strike/Link nur über unbekannte Shortcuts oder gar nicht,StarterKit vorhanden; live formatControls=[],Keine Bubble-/Floating-Toolbar und keine Shortcut-Hilfe,Accessible BubbleMenu mit Marks/Link/Code/Highlight,Selection zeigt Toolbar; Keyboard+Screenreader getestet,M,,Pages Frontend,BOTH,OPEN
PAGE-006,Code,Pages Editor,P1,P1,Toggle ist nur Label plus Plain-Textarea,"Keine echten Child-Blocks, Rich Text oder DnD",ToggleBlock.tsx:13-37,Content-Schema speichert String statt Blockhierarchie,Nested block model für Toggle-Children,Kinder beliebiger Typen anlegen/reordern/persistieren,L,PAGE-009,Pages Architecture,CODE_CONFIRMED,OPEN
PAGE-007,Code,Pages Editor,P1,P1,Einklappbare H1/H2/H3 fehlen vollständig,Explizite Nutzeranforderung und Notion-Kernmuster fehlen,Keine toggle_heading-Komponente/Registry/DTO,Toggle und Heading sind getrennte flache Typen,Toggle-Heading-Varianten mit Child-Blocks,"H1/H2/H3 einklappbar, TOC/Keyboard kompatibel",M,PAGE-006,Pages Frontend,CODE_CONFIRMED,OPEN
PAGE-008,Code,Pages Editor,P1,P1,Inhaltsverzeichnis aus Überschriften fehlt,Lange Seiten sind schlecht navigierbar,0 TableOfContents/TOC-Implementierungen,Keine stabilen Heading-Anker oder abgeleitete Outline,Derived TOC-Block/Sidebar aus Heading-Index,"Live aktualisiert, anklickbar, Deep-Link-fähig",M,PAGE-007,Pages Frontend,CODE_CONFIRMED,OPEN
PAGE-009,Code,Pages Architecture,P1,P1,"Multi-Select, Nested Blocks und page-weites Undo fehlen","Keine Bulk-Aktionen, Einrückung oder sichere Strukturänderungen",Keine selectedBlocks/BlockRange; flache sortOrder-Liste,Editor-State modelliert nur einzelne Blöcke,Selection/parentBlockId/command history spezifizieren,"Shift/Ctrl-Auswahl, Bulk move/delete/copy, Undo/Redo E2E",XL,PAGE-003,Pages Architecture,CODE_CONFIRMED,OPEN
PAGE-010,Code,Pages Databases,P1,P1,Everything-is-a-database existiert nur als ungenutzte Tabelle,Notion-Datenbankkonzept faktisch nicht vorhanden,database_pages public.ts:973-981; keine weitere Nutzung,Schema-Stub ohne Repository/Service/API/UI,Vollständigen Vertical Slice planen oder Stub entfernen,"DB-Seite, Row-as-Page und Property CRUD E2E",XL,,Pages/DB,CODE_CONFIRMED,OPEN
PAGE-011,Code,Pages Databases,P1,P1,"Views, Properties, Filter, Relations, Formeln und Rollups fehlen",Wesentlicher Notion-Funktionsumfang fehlt,Keine Pages-Implementierung; pages_databases_concept.md nur Spec,Kein Datenbank-View-/Property-Engine,Phasen: typed properties → table/list → filter/sort → board/calendar → formulas,"Jede Phase mit API-Schema, Migration und UI-E2E",XL,PAGE-010,Pages Fullstack,CODE_CONFIRMED,OPEN
PAGE-012,Code,Pages Reliability,P1,P1,Debounced Textupdate kann beim Unmount verloren gehen,Schnelles Navigieren kann letzte 800ms Text verlieren,page.tsx:225-253 cleanup clearTimeout ohne flush,Pending Update wird beim Cleanup verworfen,Flush on blur/unmount + Save-State/Retry,Navigation <800ms erhält letzten Text nach Reload,S,,Pages Frontend,CODE_CONFIRMED,OPEN
PAGE-013,Code,Pages Security,P0,P0,Block-Operationen validieren Blockzugehörigkeit zur Seite nicht,IDOR: eigener pageId plus fremde blockId kann Update/Delete/Reorder/Versionzugriff auslösen,"pages.service.ts:186-225,228-258",Nur Page-Owner wird geprüft; Block wird global per ID geladen/geändert,Repositorymethoden nach blockId+pageId+ownerId scopen,Cross-owner/page Tests ergeben 404; legitime Operationen grün,M,,Pages Backend/Security,CODE_CONFIRMED,OPEN
PAGE-014,Code,Pages Data Integrity,P1,P1,Reorder ist nicht atomar und akzeptiert beliebige Block-IDs,Teilweise Sortierung/Race und fremde Blocks möglich,pages.service.ts:220-225 Schleife ohne Transaction,Einzelupdates ohne Transaktion/Membership-Check,Transaction + unique positions + page-scoped IDs,Concurrent reorder bleibt konsistent; Rollback bei Fehler,M,PAGE-013,Pages Backend,CODE_CONFIRMED,OPEN
BROW-001,Code,Browser Reliability,P0,P0,Browser Cold Start bleibt nach erstem Fehler im Endlos-Spinner,Kernfunktion wirkt vollständig tot trotz gesundem Renderer,Live „Browser nicht erreichbar“; API später 201; Remount nötig; BrowserBlock:145-154,startStream onError setzt nur status; Effect hängt nur an sessionId,Bounded Retry/Backoff + manueller Retry + Startzustandsmaschine,Container-Coldstart heilt ohne Tabwechsel in Zielzeit,M,,Browser Fullstack,BOTH,OPEN
BROW-002,Code,Browser WebRTC,P0,P0,Live Browser zeigt schwarzen Viewport und Reconnect-Schleife,Browser ist nicht benutzbar,"browser-after-remount screenshot; 4 ended video tracks, status reconnecting",Reconnect reused MediaStream und räumt ended tracks nicht; Handshake instabil,Tracks/srcObject pro Reconnect sauber ersetzen; E2E-Diagnostik,"10-min Stream stabil, currentTime steigt, keine ended-track-Akkumulation",L,BROW-001,Browser/WebRTC,BOTH,OPEN
BROW-003,Code,Browser Auth,P1,P1,Stream-Ticket gilt 24h und WebSocket prüft keinen Origin,Leakbares Queryticket kann lange von fremdem Origin wiederverwendet werden,browser-renderer.service.ts:79; server.js:845-855,"Lange HMAC-TTL, keine Origin-/Single-use-Bindung","5-Min Single-use Ticket, Origin-Allowlist, Rotation",Replay/foreign-origin Tests werden abgelehnt,M,,Browser/Security,CODE_CONFIRMED,OPEN
BROW-004,Code,Browser SSRF,P0,P0,"Redirect-, DNS-Rebinding- und Subresource-SSRF bleiben offen",Bösartige Seite kann Docker-/LAN-Ziele ansteuern,server.js:92-108 prüft nur initial URL; page.goto folgt danach frei,Keine Request-Interception oder egress policy,Renderer-Egress-Proxy/Firewall + jede Request-IP prüfen,Redirect/Subresource/DNS-rebind private Ziele geblockt,L,,Browser/Security,CODE_CONFIRMED,OPEN
BROW-005,Code,Browser Sandbox,P0,P0,Chromium läuft weiterhin mit --no-sandbox,Browser-Exploit erhält direkten Containerprozess; hohes Escape-Risiko,server.js:285-303,Sandbox explizit deaktiviert,Chromium-Sandbox unter non-root korrekt aktivieren,Start ohne --no-sandbox; Security smoke test; cap_drop all,M,,Browser/DevOps,CODE_CONFIRMED,OPEN
BROW-006,Code,Browser Capacity,P0,P0,Unbegrenzte Sessions starten je einen Chromium,Ein Nutzer kann NAS-RAM/CPU erschöpfen,server.js BrowserSessionManager 730-765; keine Limits,"Keine globale/per-user Quota, Queue oder Containerlimit","Sessionpool, Quotas, Queue, TTL und Memory/CPU-Limits",1/2/5/über-Limit Lasttest; kontrollierte 429,L,,Browser/Performance,CODE_CONFIRMED,OPEN
BROW-007,Code,Browser Legacy,P1,P1,Legacy-Proxy-Vertrag und POST sind weiterhin kaputt,Gespeicherte Legacy-Blöcke rendern JSON/GET statt Seite/Form,Renderer /content => {html}; Controller behandelt response.text als HTML; method/postData ignoriert,Widersprüchliche alte Proxyarchitektur,Legacy entfernen/migrieren oder Vertrag vollständig testen,Migration abgeschlossen; kein /proxy oder E2E GET+POST grün,M,,Browser Fullstack,CODE_CONFIRMED,OPEN
BROW-008,Code,Browser Isolation,P1,P1,Legacy-Renderer teilt Session „legacy“ zwischen Nutzern,Cookies/History können Cross-user leaken,"server.js:783-787,833",Konstanter Profil-/Sessionname,Legacy entfernen oder pro Owner/Request isolieren,Zwei Nutzer teilen keinerlei Storage/Cookies,M,BROW-007,Browser/Security,CODE_CONFIRMED,OPEN
BROW-009,Code,Browser Deployment,P1,P1,Renderer-Port 3111 ist in Dev und Prod extern exponiert,Traefik/Auth/Rate-Limit werden umgangen; Angriffsfläche steigt,Compose ports; live /health 200,Browser WS wird direkt statt über kontrollierten Reverse Proxy genutzt,Interne-only Service-Netze; WS via Origin-geschützten Proxy,Hostport geschlossen; Browser funktioniert via HTTPS/WSS,M,DOCKER-006,DevOps/Security,BOTH,OPEN
BROW-010,Code,Browser Persistence,P1,P1,Tab-Synchronisierung verschluckt alle API-Fehler,Tabs können nach Reload fehlen/duplizieren ohne Hinweis,BrowserBlock.tsx:205-235 .catch(()=>undefined),Renderer und DB sind konkurrierende Sources of Truth,Server-authoritative Mapping und sichtbarer Sync-State,Fehler wird angezeigt/retrybar; keine Duplikate,L,,Browser Fullstack,CODE_CONFIRMED,OPEN
BROW-011,Code,Browser Performance,P1,P1,Screenshot→Sharp→JS-I420 ist CPU-intensiver Video-Pfad,Mehrere Sessions skalieren schlecht auf NAS,"server.js:180-203, captureFrame, 15 FPS",Jeder Frame wird voll dekodiert und per JS Pixel für Pixel konvertiert,CDP screencast/native encoder evaluieren; FPS/Quality adaptiv messen,CPU je aktiver Session unter definiertem Ziel,XL,BROW-006,Browser/Performance,CODE_CONFIRMED,OPEN
BROW-012,Code,Browser Testing,P1,P1,Browser besitzt keine UI/WebRTC/Cold-start-E2E-Suite,Kritische Selbstheilungsinvarianten regressieren unbemerkt,Nur 2 Auth-Tests + URL policy; Live Regression,Tests decken nur Token/URL-Policy,Containerisierte E2E-Matrix für Stream/Input/Reconnect/Isolation,"CI reproduziert Coldstart, Black frame, tab CRUD, SSRF",L,,QA/Browser,BOTH,OPEN
SEC-001,Code,Authentication,P0,P0,Gültige Default-Admin-Zugangsdaten sind vorbefüllt und öffentlich angezeigt,Jeder Netzwerkzugreifer erhält sofort Adminzugang,"login/page.tsx:16-17,139-140; Live-Login erfolgreich",Testdefaults wurden in Produktions-UI und Seed-Zustand belassen,Keine Defaults; First-run Setup mit erzwungenem Secretwechsel,Frische Instanz verlangt einmaliges Admin-Setup; UI enthält keine Credentials,M,,Security/Auth,BOTH,OPEN
SEC-002,Code,Authentication,P0,P0,"@Throttle ist wirkungslos, weil ThrottlerGuard nicht registriert ist",Unbegrenztes Brute Force gegen bekannten Adminaccount,"AppModule importiert ThrottlerModule, aber kein APP_GUARD/ThrottlerGuard",Modul konfiguriert ohne Guard; Login-Dekorator suggeriert Schutz,Globalen ThrottlerGuard registrieren; account+IP Limits,6. Fehlversuch im Fenster =>429; verteilte/accountbasierte Tests,S,SEC-001,Security/Auth,CODE_CONFIRMED,OPEN
SEC-003,Code,Vault,P0,P0,Vault-Passwörter und TOTP-Secrets werden im Klartext transportiert/gespeichert/ausgegeben,DB/API/XSS-Kompromiss legt alle Geheimnisse offen,"vault form:379-414; service:19-27; repo:41-46; detail:258-273,318-334","Feld heißt encryptedPassword, aber es gibt keinerlei Encryption; Input type=text",Serverseitige Envelope Encryption/KMS; DTO plaintext nur transient; Secrets nie listen,DB enthält nur AEAD-Ciphertext; key rotation; API redaction; Migration,XL,,Vault/Security,CODE_CONFIRMED,OPEN
SEC-004,Code,Token Security,P1,P1,24h Access-/LocalStorage-Tokens werden zusätzlich in Bild-URLs gelegt,"XSS, Logs, Browser-History und Referrer können Vollzugriffstoken leaken",jwt.ts:16; auth-store.ts; music-api.ts:127/382,Bearer-Token dient zugleich als langlebiges Medien-Querytoken,"Kurze Access-TTL, HttpOnly/BFF oder separate signierte Medientickets",Keine JWTs in URLs; CSP/XSS-Test; Tokenrotation,L,,Security/Auth,CODE_CONFIRMED,OPEN
SEC-005,Code,CORS,P1,P1,Live/Dev-Compose erlaubt CORS * mit credentials,Beliebige Origins dürfen Browser-API-Antworten anfragen,main.ts:18-25; docker-compose.yml CORS_ORIGINS=*,Entwicklungsdefault wurde in Laufzeitkonfiguration übernommen,Exakte Origin-Allowlist pro Umgebung,Fremder Origin scheitert Preflight; LifeHub-Origin grün,S,,Security/Platform,CODE_CONFIRMED,OPEN
SEC-006,Code,Secrets,P1,P1,Dev-Compose enthält feste DB/Redis/Meili-Secrets,Repo-/Image-Leak kompromittiert alle Standardinstanzen,docker-compose.yml environment/commands,Convenience-Credentials sind nicht extern konfiguriert,"Alle Secrets über .env/secret files, Rotation und Beispielwerte",Secret-Scan grün; frische Instanz generiert individuelle Werte,M,,DevOps/Security,CODE_CONFIRMED,OPEN
SEC-007,Code,Dependencies,P1,P1,"Produktions-Audit meldet 49 Vulnerabilities, 22 hoch",Bekannte Schwachstellen in Next/Nest/body-parser/ws u.a.,quality-summary.json; pnpm audit exit 1,Abhängigkeiten wurden nicht regelmäßig aktualisiert/gated,"Patchplan, Overrides nur befristet, Audit-Gate",0 high oder dokumentierte akzeptierte Ausnahme mit Datum,L,,Platform/Security,BOTH,OPEN
PERF-001,Code,Frontend Performance,P1,P1,Build enthält 3.77 MB JS; größter Chunk 513 KB,"Schlechter Cold Load auf Mobile/NAS, unnötige Parsekosten",next-build-metrics.json: 110 JS chunks,Große Libraries/Client Components werden breit gebündelt,"Bundle-Analyzer, dynamische Imports und RSC-Grenzen","Routebudgets: shared <150KB gzip, kein Chunk >250KB raw",L,,Frontend/Performance,CODE_CONFIRMED,OPEN
PERF-002,Code,Frontend Performance,P1,P1,"Recipes lädt bis 1.16 MB encoded, Pages 866 KB",Kernrouten überschreiten sinnvolle Payloadbudgets,live-performance-summary.json,"Viele Bilder/Clientcode, fehlende Optimierung und große Editorabhängigkeiten","Bild-/Route-Lazyload, Split Editor/Browser, Cache-Strategie",LCP<2.5s; definierte KB-Budgets pro Route,L,PERF-001,Frontend/Performance,OBSERVED,OPEN
PERF-003,Code,Images,P1,P1,Lint meldet 38 unoptimierte img-Verwendungen,Bandbreite/LCP und Layoutqualität leiden,quality-summary.json; 404/blank recipe images,Direkte img-URLs ohne Optimizer/Fallback/Dimensionvertrag,"Image-Wrapper mit Thumbnail, sizes, lazy/eager policy und Fallback",0 relevante no-img warnings; LCP/bytes gemessen,L,UI-015,Frontend/Media,BOTH,OPEN
PERF-004,Code,DOM/A11y,P2,P2,Jellyfin-Seiten rendern bis 862 Interactives,Keyboard-/Screenreaderlast und DOM-Kosten steigen,live-atlas-summary.json,Große Listen ohne konsequente Virtualisierung/Progressive Mount,Virtualize/limit mounted rows and controls,DOM/interactive Budget pro View; Tastaturnavigation stabil,L,,Jellyfin Frontend,OBSERVED,OPEN
PERF-005,Code,Database,P1,P1,Pages-Reorder führt N Einzelupdates sequenziell aus,Latenz und Inkonsistenz steigen linear mit Blockzahl,pages.service.ts:220-225,Kein Batch/Transaction,Ein statement/transaction mit Membership-Check,100 Blöcke atomar innerhalb Zielzeit,M,PAGE-014,Pages Backend,CODE_CONFIRMED,OPEN
